variable;variable_old;item;text;info
prior_knowledge;prior_knowledge;NA;Wie schätzen Sie Ihr Vorwissen zu E-Autos ein?;"{""ImportId"":""QID19""}"
experience;experience;NA;Welche Erfahrungen mit E-Autos haben Sie bereits gemacht?;"{""ImportId"":""QID20""}"
evaluation_1;evaluation_1;sinnvoll;Ich halte die Nutzung eines E-Autos für ...? - sinnvoll;"{""ImportId"":""QID21_1""}"
evaluation_2;evaluation_2;vorteilhaft;Ich halte die Nutzung eines E-Autos für ...? - vorteilhaft;"{""ImportId"":""QID21_2""}"
evaluation_3;evaluation_3;riskant;Ich halte die Nutzung eines E-Autos für ...? - riskant;"{""ImportId"":""QID21_3""}"
evaluation_4;evaluation_4;bedrohlich;Ich halte die Nutzung eines E-Autos für ...? - bedrohlich;"{""ImportId"":""QID21_4""}"
evaluation_why_1;evaluation_why_1;... E-Mobilität umweltfreundlicher ist.;Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... E-Mobilität umweltfreundlicher ist.;"{""ImportId"":""QID22_1""}"
evaluation_why_2;evaluation_why_2;... es langfristig gesehen kostensparender ist.;Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... es langfristig gesehen kostensparender ist.;"{""ImportId"":""QID22_2""}"
evaluation_why_3;evaluation_why_3;... Fahrgeräusche reduziert werden.;Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... Fahrgeräusche reduziert werden.;"{""ImportId"":""QID22_3""}"
evaluation_why_4;evaluation_why_4;... die neueste Technologie verwendet wird.;Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... die neueste Technologie verwendet wird.;"{""ImportId"":""QID22_4""}"
evaluation_why_5;evaluation_why_5;... E-Mobilität die Zukunft ist.;Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - ... E-Mobilität die Zukunft ist.;"{""ImportId"":""QID22_5""}"
evaluation_why_6;evaluation_why_6;Ich würde kein E-Auto fahren.;Ich würde ein E-Auto fahren, weil ... / Ich fahre ein E-Auto, weil ... - Ich würde kein E-Auto fahren.;"{""ImportId"":""QID22_6""}"
evaluation_why_n_1;evaluation_why_n_1;... ich die Betankung (das Aufladen) nicht planen möchte.;Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... ich die Betankung (das Aufladen) nicht planen möchte.;"{""ImportId"":""QID23_1""}"
evaluation_why_n_2;evaluation_why_n_2;... die Technologie noch nicht ausgereift ist.;Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... die Technologie noch nicht ausgereift ist.;"{""ImportId"":""QID23_2""}"
evaluation_why_n_3;evaluation_why_n_3;... Elektromobilität nicht vertrauenswürdig ist.;Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... Elektromobilität nicht vertrauenswürdig ist.;"{""ImportId"":""QID23_3""}"
evaluation_why_n_4;evaluation_why_n_4;... der Strom, der für Elektromobilität genutzt wird, meist aus atomarem Strom bezogen wird.;Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... der Strom, der für Elektromobilität genutzt wird, meist aus atomarem Strom bezogen wird.;"{""ImportId"":""QID23_4""}"
evaluation_why_n_5;evaluation_why_n_5;... E-Autos durchschnittlich teurer sind als Verbrenner-Autos.;Ich würde kein E-Auto fahren, weil ... / Ich fahre kein E-Auto, weil ... - ... E-Autos durchschnittlich teurer sind als Verbrenner-Autos.;"{""ImportId"":""QID23_5""}"
car_choice;car_choice;NA;Wenn ich mir jetzt ein Auto kaufen würde, dann würde ich;"{""ImportId"":""QID105""}"
concern_dest_n;concern_dest_n;NA;Wie besorgt sind Sie, wenn überhaupt, das Ziel nicht erreichen zu können?;"{""ImportId"":""QID49""}"
impact_dest_n;impact_dest_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie Ihr Ziel nicht erreichen könnten?;"{""ImportId"":""QID53""}"
prob_dest_n;prob_dest_n;NA;Für wie wahrscheinlich halten Sie es, Ihr Ziel nicht erreichen zu können?;"{""ImportId"":""QID63""}"
concern_charging_n;concern_charging_n;NA;Wie besorgt sind Sie, wenn überhaupt, dass es auf Ihrer Strecke keine Möglichkeit gibt, das Elektroauto laden zu können?;"{""ImportId"":""QID54""}"
impact_charging_n;impact_charging_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie das Auto auf der Strecke nicht laden könnten?;"{""ImportId"":""QID55""}"
prob_charging_n;prob_charging_n;NA;Für wie wahrscheinlich halten Sie es, das Auto auf der Strecke nicht laden zu können?;"{""ImportId"":""QID113""}"
concern_time;concern_time;NA;Wie besorgt sind Sie, wenn überhaupt, dass die Ladezeit Ihres Elektroautos auf Ihrer Strecke dazu führen könnte, dass Sie länger brauchen, um Ihr Ziel zu erreichen?;"{""ImportId"":""QID56""}"
impact_time;impact_time;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund der Ladezeit Ihres Elektroautos länger brauchen, um Ihr Ziel zu erreichen?;"{""ImportId"":""QID57""}"
prob_time;prob_time;NA;Für wie wahrscheinlich halten Sie es, aufgrund der Ladezeit Ihres Elektroautos länger zu brauchen, um Ihr Ziel zu erreichen?;"{""ImportId"":""QID65""}"
concern_accident;concern_accident;NA;Wie besorgt sind Sie, wenn überhaupt, darüber, einen Unfall zu verursachen aufgrund von Schäden der Batterie?;"{""ImportId"":""QID58""}"
impact_accident;impact_accident;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund von Schäden der Batterie einen Unfall verursachen würden?;"{""ImportId"":""QID59""}"
prob_accident;prob_accident;NA;Für wie wahrscheinlich halten Sie es, einen Unfall zu verursachen aufgrund von Schäden der Batterie?;"{""ImportId"":""QID66""}"
concern_price_n;concern_price_n;NA;Wie besorgt sind Sie, wenn überhaupt, sich keinen Neuwagen (Elektroauto) mehr leisten zu können?;"{""ImportId"":""QID43""}"
impact_price_n;impact_price_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie sich aufgrund von zu hohen Kosten kein Elektroauto kaufen können?;"{""ImportId"":""QID44""}"
prob_price_n;prob_price_n;NA;Für wie wahrscheinlich halten Sie es, sich aufgrund der hohen Kosten kein Elektroauto kaufen zu können?;"{""ImportId"":""QID67""}"
concern_support_n;concern_support_n;NA;Wie besorgt sind Sie, wenn überhaupt, dass Sie der Staat bei der Anschaffung eines Neuwagens (Elektroauto) nicht finanziell unterstützt?;"{""ImportId"":""QID45""}"
impact_support_n;impact_support_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund ausbleibender Subventionen kein Elektroauto erwerben könnten?;"{""ImportId"":""QID46""}"
prob_support_n;prob_support_n;NA;Für wie wahrscheinlich halten Sie es, aufgrund ausbleibender Subventionen kein Elektroauto erwerben zu können?;"{""ImportId"":""QID114""}"
worry_ev_1;worry_ev_1;Kosten;Was ist Ihre größte Sorge bezüglich Elektroautos? - Kosten;"{""ImportId"":""QID47_1""}"
worry_ev_2;worry_ev_2;Batteriereichweite;Was ist Ihre größte Sorge bezüglich Elektroautos? - Batteriereichweite;"{""ImportId"":""QID47_2""}"
worry_ev_3;worry_ev_3;Ladeinfrastruktur;Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladeinfrastruktur;"{""ImportId"":""QID47_3""}"
worry_ev_4;worry_ev_4;Sicherheit;Was ist Ihre größte Sorge bezüglich Elektroautos? - Sicherheit;"{""ImportId"":""QID47_4""}"
worry_ev_5;worry_ev_5;Ladezeit;Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladezeit;"{""ImportId"":""QID47_5""}"
worry_ev_6;worry_ev_6;Andere Sorge:;Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge:;"{""ImportId"":""QID47_6""}"
worry_ev_6_TEXT;worry_ev_6_TEXT;Andere Sorge: – Text;Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge: – Text;"{""ImportId"":""QID47_6_TEXT""}"
control_question;control_question;NA;Ich habe den Text aufmerksam gelesen.;"{""ImportId"":""QID109""}"
n_control_reading;n_control_reading;NA;Ich habe den Text aufmerksam gelesen.;"{""ImportId"":""QID107""}"
control_neutral;control_neutral;NA;Bearbeiten Sie den Fragebogen noch aufmerksam?;"{""ImportId"":""QID108""}"
driving_climate_1;driving_climate_1;Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.;"{""ImportId"":""QID29_1""}"
driving_climate_2;driving_climate_2;Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.;"{""ImportId"":""QID29_2""}"
driving_climate_3;driving_climate_3;Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.;"{""ImportId"":""QID29_3""}"
driving_climate_4;driving_climate_4;Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.;"{""ImportId"":""QID29_4""}"
ev_attitude_1;ev_attitude_1;Ich fühle mich ängstlich, wenn ich mir vorstelle ein E-Auto zu benutzen.;Sie sind nun im letzten Teil des Fragebogens angelangt. Am Ende möchten wir noch etwas über Ihre persönlichen Einstellungen gegenüber E-Autos erfahren. - Ich fühle mich ängstlich, wenn ich mir vorstelle ein E-Auto zu benutzen.;"{""ImportId"":""QID26_1""}"
ev_attitude_2;ev_attitude_2;E-Autos regen mich auf.;Sie sind nun im letzten Teil des Fragebogens angelangt. Am Ende möchten wir noch etwas über Ihre persönlichen Einstellungen gegenüber E-Autos erfahren. - E-Autos regen mich auf.;"{""ImportId"":""QID26_2""}"
ev_attitude_3;ev_attitude_3;Ich denke, die meisten Leute können ein E-Auto besser bedienen als ich.;Sie sind nun im letzten Teil des Fragebogens angelangt. Am Ende möchten wir noch etwas über Ihre persönlichen Einstellungen gegenüber E-Autos erfahren. - Ich denke, die meisten Leute können ein E-Auto besser bedienen als ich.;"{""ImportId"":""QID26_3""}"
personality_1;personality_1;Ich bin eher zurückhaltend, reserviert.;Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich bin eher zurückhaltend, reserviert.;"{""ImportId"":""QID27_1""}"
personality_2;personality_2;Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.;Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.;"{""ImportId"":""QID27_2""}"
personality_3;personality_3;Ich bin entspannt, lasse mich durch Stress nicht leicht aus der Ruhe bringen.;Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich bin entspannt, lasse mich durch Stress nicht leicht aus der Ruhe bringen.;"{""ImportId"":""QID27_3""}"
personality_4;personality_4;Ich werde leicht nervös und unsicher.;Bitte kreuzen Sie an, wie Sie Ihre Persönlichkeit einschätzen. - Ich werde leicht nervös und unsicher.;"{""ImportId"":""QID27_4""}"
tech_interaction_1;tech_interaction_1;Ich beschäftige mich gern genauer mit technischen Systemen.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich beschäftige mich gern genauer mit technischen Systemen.";"{""ImportId"":""QID111_1""}"
tech_interaction_2;tech_interaction_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.";"{""ImportId"":""QID111_2""}"
tech_interaction_3;tech_interaction_3;In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.";"{""ImportId"":""QID111_3""}"
tech_interaction_4;tech_interaction_4;Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.";"{""ImportId"":""QID111_4""}"
tech_interaction_5;tech_interaction_5;Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.";"{""ImportId"":""QID111_5""}"
tech_interaction_6;tech_interaction_6;Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.";"{""ImportId"":""QID111_6""}"
tech_interaction_7;tech_interaction_7;Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich versuche zu verstehen, wie ein technisches System genau funktioniert.";"{""ImportId"":""QID111_7""}"
tech_interaction_8;tech_interaction_8;Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.";"{""ImportId"":""QID111_8""}"
tech_interaction_9;tech_interaction_9;Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;"Im Folgenden geht es um Ihre Interaktion mit technischen Systemen. Damit sind sowohl Apps und andere Software-Anwendungen als auch komplette digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint.

Inwiefern stimmen Sie diesen Aussagen zu? - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.";"{""ImportId"":""QID111_9""}"
2concern_dest_n;2concern_dest_n;NA;Wie besorgt sind Sie, wenn überhaupt, das Ziel nicht erreichen zu können?;"{""ImportId"":""QID91""}"
2impact_dest;2impact_dest;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie Ihr Ziel nicht erreichen könnten?;"{""ImportId"":""QID92""}"
2prob_dest;2prob_dest;NA;Für wie wahrscheinlich halten Sie es, Ihr Ziel nicht erreichen zu können?;"{""ImportId"":""QID93""}"
2concern_charging_n;2concern_charging_n;NA;Wie besorgt sind Sie, wenn überhaupt, dass es auf Ihrer Strecke keine Möglichkeit gibt, das Elektroauto laden zu können?;"{""ImportId"":""QID94""}"
2impact_charging_n;2impact_charging_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie das Auto auf der Strecke nicht laden könnten?;"{""ImportId"":""QID95""}"
2prob_charging_n;2prob_charging_n;NA;Für wie wahrscheinlich halten Sie es, das Auto auf der Strecke nicht laden zu können?;"{""ImportId"":""QID112""}"
2concern_time;2concern_time;NA;Wie besorgt sind Sie, wenn überhaupt, dass die Ladezeit Ihres Elektroautos auf Ihrer Strecke dazu führen könnte, dass Sie länger brauchen, um Ihr Ziel zu erreichen?;"{""ImportId"":""QID97""}"
2impact_time;2impact_time;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund der Ladezeit Ihres Elektroautos länger brauchen, um Ihr Ziel zu erreichen?;"{""ImportId"":""QID98""}"
2prob_time;2prob_time;NA;Für wie wahrscheinlich halten Sie es, aufgrund der Ladezeit Ihres Elektroautos länger zu brauchen, um Ihr Ziel zu erreichen?;"{""ImportId"":""QID99""}"
2concern_accident;2concern_accident;NA;Wie besorgt sind Sie, wenn überhaupt, darüber, einen Unfall zu verursachen aufgrund von Schäden der Batterie?;"{""ImportId"":""QID100""}"
2impact_accident;2impact_accident;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund von Schäden der Batterie einen Unfall verursachen würden?;"{""ImportId"":""QID101""}"
2prob_accident;2prob_accident;NA;Für wie wahrscheinlich halten Sie es, einen Unfall zu verursachen aufgrund von Schäden der Batterie?;"{""ImportId"":""QID102""}"
2concern_price_n;2concern_price_n;NA;Wie besorgt sind Sie, wenn überhaupt, sich keinen Neuwagen (Elektroauto) mehr leisten zu können?;"{""ImportId"":""QID83""}"
2impact_price_n;2impact_price_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie sich aufgrund von zu hohen Kosten kein Elektroauto kaufen können?;"{""ImportId"":""QID84""}"
2prob_price_n;2prob_price_n;NA;Für wie wahrscheinlich halten Sie es, sich aufgrund der hohen Kosten kein Elektroauto kaufen zu können?;"{""ImportId"":""QID85""}"
2concern_support_n;2concern_support_n;NA;Wie besorgt sind Sie, wenn überhaupt, dass Sie der Staat bei der Anschaffung eines Neuwagens (Elektroauto) nicht finanziell unterstützt?;"{""ImportId"":""QID86""}"
2impact_support_n;2impact_support_n;NA;Wie schwerwiegend wären die Auswirkungen für Sie, wenn Sie aufgrund ausbleibender Subventionen kein Elektroauto erwerben könnten?;"{""ImportId"":""QID87""}"
2prob_support_n;2prob_support_n;NA;Für wie wahrscheinlich halten Sie es, aufgrund ausbleibender Subventionen kein Elektroauto erwerben zu können?;"{""ImportId"":""QID115""}"
2worry_ev_1;2worry_ev_1;Kosten;Was ist Ihre größte Sorge bezüglich Elektroautos? - Kosten;"{""ImportId"":""QID106_1""}"
2worry_ev_2;2worry_ev_2;Batteriereichweite;Was ist Ihre größte Sorge bezüglich Elektroautos? - Batteriereichweite;"{""ImportId"":""QID106_2""}"
2worry_ev_3;2worry_ev_3;Ladeinfrastruktur;Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladeinfrastruktur;"{""ImportId"":""QID106_3""}"
2worry_ev_4;2worry_ev_4;Sicherheit;Was ist Ihre größte Sorge bezüglich Elektroautos? - Sicherheit;"{""ImportId"":""QID106_4""}"
2worry_ev_5;2worry_ev_5;Ladezeit;Was ist Ihre größte Sorge bezüglich Elektroautos? - Ladezeit;"{""ImportId"":""QID106_5""}"
2worry_ev_6;2worry_ev_6;Andere Sorge:;Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge:;"{""ImportId"":""QID106_6""}"
2worry_ev_6_TEXT;2worry_ev_6_TEXT;Andere Sorge: – Text;Was ist Ihre größte Sorge bezüglich Elektroautos? - Andere Sorge: – Text;"{""ImportId"":""QID106_6_TEXT""}"
