"","ResponseId","Progress","Duration (in seconds)","participation","gender","age","education","occupation","city_size","license","duration_license","car_ownership","car_type","km_per year","frequency","companionship","preferences_mobility_3","preferences_mobility_1","preferences_mobility_5","preferences_mobility_6","preferences_mobility_7","preferences_mobility_4","preferences_mobility_2","preferences_mobility_8","preferences_mobility_8_TEXT","prior_knowledge","experience","evaluation_1","evaluation_2","evaluation_3","evaluation_4","evaluation_why_1","evaluation_why_2","evaluation_why_3","evaluation_why_4","evaluation_why_5","evaluation_why_6_n","evaluation_why_n_1","evaluation_why_n_2","evaluation_why_n_3","evaluation_why_n_4","evaluation_why_n_5","car_choice","concern_dest","impact_dest","prob_dest","concern_charging","impact_charging","prob_charging_n","concern_time","impact_time","prob_time","concern_accident","impact_accident","prob_accident","concern_price","impact_price","prob_price","concern_support","impact_support","prob_support","worry_ev_1","worry_ev_2","worry_ev_3","worry_ev_4","worry_ev_5","worry_ev_6","worry_ev_6_TEXT","control_question","n_control_reading","control_neutral","driving_climate_1","driving_climate_2_n","driving_climate_3","driving_climate_4_n","ev_attitude_1","ev_attitude_2","ev_attitude_3","personality_1_n","personality_2","personality_3_n","personality_4","tech_interaction_1","tech_interaction_2","tech_interaction_3_n","tech_interaction_4","tech_interaction_5","tech_interaction_6_n","tech_interaction_7","tech_interaction_8_n","tech_interaction_9","2concern_dest","2impact_dest","2prob_dest","2concern_charging","2impact_charging","2prob_charging","2concern_time","2impact_time","2prob_time","2concern_accident","2impact_accident","2prob_accident","2concern_price","2impact_price","2prob_price","2concern_support","2impact_support","2prob_support","2worry_ev_1","2worry_ev_2","2worry_ev_3","2worry_ev_4","2worry_ev_5","2worry_ev_6","2worry_ev_6_TEXT","careless_speed","speeder_flag","careless_longstr","careless_avgstr","careless_irv","careless_psychsyn_pairs","careless_psychsyn","careless_psychant_pairs","careless_psychant","careless_mahadD","careless_mahadflag","Evaluation","Evaluation_Why","Evaluation_Why_n","Dest","Charging","Time","Accident","Price","Support","Driving_Climate","EV_Attitude","Personality_neuro","Tech_Interaction","Dest_2","Charging_2","Time_2","Accident_2","Price_2","Support_2","framing"
"39","R_1mznb32NQ0UBZAP",99,775,1,"männlich",45,"(Fach-)Hochschulabschluss","Voll berufstätig","> 500.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"5.001 km bis 10.000 km","Täglich",1,3,7,5,1,6,4,2,8,NA,"Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.","Ich habe keine Erfahrung mit E-Autos.",3,4,3,3,3,3,3,3,3,4,4,5,4,4,4,2,1,2,2,3,3,3,4,1,4,5,4,4,3,2,2,2,2,2,5,2,4,1,3,6,NA,1,NA,NA,5,1,5,2,4,3,3,3,2,4,3,3,3,5,2,2,6,2,4,3,2,2,2,3,2,3,3,2,3,2,2,6,2,2,2,2,2,2,5,2,4,1,3,6,NA,775,FALSE,7,1.65116279069767,1.14208048144032,81,0.41851844695489,13,-0.779607102355124,0,FALSE,3.75,3,4.2,1.66666666666667,3,3,4.33333333333333,2.33333333333333,2,5.25,3.33333333333333,3,2.33333333333333,2,2.66666666666667,2.66666666666667,3.33333333333333,2,2,"positiv"
"40","R_1NEL7kYQmKuwnn0",100,1136,1,"männlich",65,"Realschulabschluss (Mittlere Reife)","Teilweise berufstätig","20.000 - 100.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"5.001 km bis 10.000 km","Mehrmals in der Woche",1,1,5,6,7,4,3,2,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",1,1,3,1,2,2,5,2,2,5,6,5,4,4,4,3,4,4,4,5,5,6,5,4,6,3,3,3,6,6,6,6,6,6,2,5,3,6,4,1,"Keine Möglichkeit in Wohnungsnähe zu laden.",1,NA,NA,4,4,3,4,3,3,2,4,4,5,1,3,3,4,3,3,4,4,4,4,5,5,5,5,5,6,4,5,6,3,5,6,6,6,6,6,6,6,2,3,1,5,4,6,NA,1136,FALSE,6,1.73170731707317,1.45434310657273,81,0.781081890433176,13,-0.735573281821775,0,FALSE,3,2.5,4.6,4,5.33333333333333,5,3,6,6,3.25,2.66666666666667,1.5,3.22222222222222,5,5.33333333333333,5,4.66666666666667,6,6,"positiv"
"43","R_1Nza7GKRnh0Xgn9",100,2355,1,"weiblich",70,"Realschulabschluss (Mittlere Reife)",NA,NA,"PKW-Führerschein & Kraftfahrzeug-Führerschein","Seit mehr als 10 Jahren",1,2,"15.001 km bis 20.000 km","Täglich",2,5,6,3,2,4,1,8,7,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.",NA,3,2,4,4,3,3,4,3,3,4,6,5,2,2,6,4,5,3,2,6,4,2,5,3,5,6,5,4,3,3,4,1,1,4,1,2,4,5,3,6,NA,1,NA,NA,6,1,3,3,2,1,2,4,3,5,2,5,4,4,3,3,5,3,4,3,3,3,3,4,3,3,4,3,5,4,4,6,1,1,2,1,1,4,1,2,4,5,3,6,NA,2355,FALSE,4,1.29090909090909,1.38081483782884,81,0.518349150514442,13,-0.559471295136132,0,FALSE,2.75,3.16666666666667,4.2,3.33333333333333,4,4.33333333333333,5,3.33333333333333,2,4.75,1.66666666666667,2,3.22222222222222,3,3.33333333333333,4,4.66666666666667,1.33333333333333,2,"positiv"
"50","R_1opB3eoyeWKvIZO",100,793,1,"männlich",21,"(Fach-)Abitur","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",3,NA,"10.001 km bis 15.000 km","Täglich",1,3,2,7,6,5,4,1,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","In der Vergangenheit habe ich E-Autos für längere Zeit genutzt.",5,2,2,1,5,3,5,1,6,1,5,3,1,6,4,2,1,4,1,1,4,1,4,4,4,2,3,2,3,4,3,4,5,3,4,2,3,5,1,6,NA,1,NA,NA,6,1,4,2,1,1,1,4,3,4,2,3,4,5,4,3,5,3,4,4,1,4,1,1,4,1,4,4,5,2,3,1,3,4,3,3,4,2,4,2,3,5,1,6,NA,793,FALSE,3,1.16393442622951,1.50334340982608,81,0.705473622322004,13,-0.712289654101744,0,FALSE,4.5,4.33333333333333,3.8,2,2,4,2.33333333333333,3.33333333333333,4,5.25,1,2.5,3.11111111111111,2,2,4.33333333333333,2,3.33333333333333,3,"positiv"
"60","R_21nWUjgezNmN9tl",100,777,1,"weiblich",23,"(Fach-)Hochschulabschluss","Voll berufstätig","> 500.000 Einwohner:innen","PKW-Führerschein","Seit weniger als einem Jahr",2,NA,NA,"Mehrmals im Jahr",2,4,6,1,7,2,5,3,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",4,4,2,3,3,3,4,3,2,2,2,5,2,1,2,2,2,4,5,3,4,3,3,2,4,2,4,2,1,2,3,3,2,3,6,3,2,5,4,1,"Verbot von Verbrennungsmotoren, was einen Wegfall eines kernwirtschaftsbereich von Deutschland zu folge hätte",1,NA,NA,2,4,2,5,1,2,1,2,1,5,2,6,6,2,6,5,1,5,1,6,2,3,3,3,4,3,2,2,3,2,4,2,2,2,3,3,2,3,6,3,2,5,4,1,"Verbot verbrennermotoren",777,FALSE,3,1.26785714285714,1.33777727336291,81,0.672035075144164,13,-0.409728349543564,0,FALSE,4.25,3.33333333333333,2.4,3.66666666666667,3.33333333333333,3,2.66666666666667,2,2.66666666666667,2.25,1.33333333333333,2,5.66666666666667,2.66666666666667,3.33333333333333,2.33333333333333,2.66666666666667,2.33333333333333,2.66666666666667,"positiv"
"61","R_22JJ6VeDGQ3ZIp0",100,1114,1,"männlich",52,"(Fach-)Hochschulabschluss","Teilweise berufstätig","20.000 - 100.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,3,"5.001 km bis 10.000 km","Mehrmals in der Woche",1,6,1,3,4,2,7,5,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich nutze aktuell ein E-Auto.",5,6,1,1,5,5,5,4,5,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,5,1,1,1,1,1,1,3,1,1,4,3,2,5,1,6,NA,1,NA,NA,5,1,5,1,1,1,1,4,1,2,4,2,2,5,2,2,5,3,5,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,4,3,2,5,1,6,NA,1114,FALSE,11,2.02857142857143,1.5785833731034,81,0.877120418814319,13,-0.863511536641546,0,FALSE,5.75,5,1.4,1,1.33333333333333,2.66666666666667,1,1,1.66666666666667,5.5,1,4.5,2.11111111111111,1,1,1.66666666666667,1,1,1,"positiv"
"62","R_22nngjCO76CbWaG",100,1351,1,"weiblich",57,"(Fach-)Hochschulabschluss","Voll berufstätig","5.000 - 20.000 Einwohner:innen","Kraftfahrzeug-Führerschein","Seit mehr als 10 Jahren",1,2,"5.001 km bis 10.000 km","Mehrmals in der Woche",1,1,5,7,4,6,2,3,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",2,2,2,3,2,2,4,2,1,5,4,6,2,3,4,3,4,5,4,5,5,4,5,3,5,4,6,3,5,5,5,5,5,5,3,2,4,6,5,1,"Es ist völlig unsinnig zwischen 250 und 800 Kg Batterien im E-Auto mit herumzufahren.",1,NA,NA,6,2,6,2,4,6,1,5,5,4,4,6,6,1,6,6,1,6,1,4,5,5,3,4,5,3,4,3,6,3,5,6,5,5,5,5,5,4,3,2,4,5,6,1,NA,1351,FALSE,5,1.33962264150943,1.52691518405446,81,0.632183089799071,13,-0.742998766298611,0,FALSE,3.25,2.16666666666667,3.8,4.33333333333333,4.66666666666667,4.33333333333333,4.33333333333333,5,5,5.5,3.66666666666667,3.5,5.77777777777778,4.33333333333333,4,4.33333333333333,4.66666666666667,5,4.66666666666667,"positiv"
"68","R_24qPONGUkysrrvG",100,2153,1,"weiblich",57,"(Fach-)Hochschulabschluss","Voll berufstätig","< 5.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"10.001 km bis 15.000 km","Mehrmals in der Woche",2,4,3,5,1,2,7,8,6,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",4,4,3,3,4,4,5,4,4,3,2,3,3,2,4,1,2,4,3,3,3,3,3,2,4,3,3,3,4,3,4,3,4,4,1,2,3,5,4,6,NA,1,NA,NA,5,3,5,2,2,1,3,4,3,3,3,4,4,3,4,5,2,5,2,4,3,3,3,3,3,3,3,2,5,3,3,2,3,3,4,4,3,4,1,2,3,5,4,6,NA,2153,FALSE,7,1.51063829787234,0.927607398926099,81,0.627038895588038,13,-0.8357636518982,0,FALSE,4,4.16666666666667,2.8,3,3,3,3,3.66666666666667,3.66666666666667,4.75,2,3.5,4.44444444444444,3,3,3.33333333333333,2.66666666666667,3.33333333333333,3.66666666666667,"positiv"
"69","R_24uzfOTXE1sVShv",100,1635,1,"männlich",73,"Realschulabschluss (Mittlere Reife)",NA,"5.000 - 20.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"bis 5.000 km","Mehrmals im Monat",1,3,5,7,6,1,2,4,8,"8","Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.","Ich bin einmal mit einem E-Auto gefahren.",4,3,3,4,4,4,5,4,3,3,4,4,3,3,4,3,3,5,4,4,5,4,5,4,5,3,5,2,2,3,4,3,3,4,4,2,1,5,3,6,NA,1,NA,NA,4,3,4,3,3,2,3,3,3,1,4,3,2,5,2,2,5,4,4,2,3,5,3,4,5,4,5,5,7,4,5,6,2,3,4,3,3,4,4,2,1,5,3,6,NA,1635,FALSE,4,1.36538461538462,1.09061496128965,81,0.609559202483632,13,-0.215561995459146,0,FALSE,3.5,4,3.6,4,4.33333333333333,4.66666666666667,3.33333333333333,3,3.33333333333333,4,2.66666666666667,5,2.44444444444444,3.66666666666667,4.33333333333333,5.66666666666667,5,3,3.33333333333333,"positiv"
"75","R_27lgTajigX4jbVi",100,1040,1,"weiblich",57,"Realschulabschluss (Mittlere Reife)","Voll berufstätig","100.000 - 500.000 Einwohner:innen","PKW-Führerschein & Motorrad-Führerschein","Seit mehr als 10 Jahren",1,2,"10.001 km bis 15.000 km","Mehrmals in der Woche",1,2,5,3,1,7,6,8,4,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",5,2,2,1,2,4,1,5,2,5,6,1,6,6,1,5,1,1,1,1,1,1,1,1,1,6,6,2,1,1,6,1,1,6,3,4,2,5,1,6,NA,1,NA,NA,6,1,5,6,2,4,2,4,5,1,4,3,3,2,2,5,4,2,2,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,6,3,2,5,1,4,6,NA,1040,FALSE,9,1.73170731707317,1.95158798217603,81,0.166032884354481,13,-0.150066676662844,0,FALSE,4.5,2.66666666666667,4,1,1,1,4.66666666666667,2.66666666666667,2.66666666666667,4.5,2.66666666666667,5,3.22222222222222,1,2.66666666666667,1,1,2.66666666666667,2.66666666666667,"positiv"
"76","R_28Gs2lWmIEFoSEl",100,1837,1,"weiblich",24,"(Fach-)Abitur","Voll berufstätig","20.000 - 100.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"5.001 km bis 10.000 km","Täglich",1,1,5,7,6,8,3,4,2,"Traktor","Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin einmal mit einem E-Auto gefahren.",5,1,1,1,2,1,1,3,4,1,5,6,2,1,5,3,1,4,1,6,6,3,1,5,5,2,5,2,2,6,2,5,6,5,2,4,1,5,3,6,NA,1,NA,NA,5,5,2,2,1,2,1,3,5,2,1,5,6,2,6,6,6,6,6,6,2,6,2,4,5,2,5,6,6,2,6,2,2,6,2,6,6,5,2,3,1,5,4,6,NA,1837,FALSE,6,1.29090909090909,1.97442236750403,81,0.607725041403397,13,-0.128037641648666,0,FALSE,4.5,2.83333333333333,3.8,2,5,3.66666666666667,3,3.33333333333333,5.33333333333333,3.5,1.33333333333333,3,4.66666666666667,3.33333333333333,3.66666666666667,5.66666666666667,3.33333333333333,3.33333333333333,5.66666666666667,"positiv"
